measure,dateTime,date,value,completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-02T09:00:00,02/08/2000,5.8,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-03T09:00:00,03/08/2000,4.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-04T09:00:00,04/08/2000,1,Incomplete,Missing,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-05T09:00:00,05/08/2000,1,Incomplete,Missing,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-06T09:00:00,06/08/2000,1,Incomplete,Missing,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-07T09:00:00,07/08/2000,1,Incomplete,Missing,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-08T09:00:00,08/08/2000,2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-09T09:00:00,09/08/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-10T09:00:00,10/08/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-11T09:00:00,11/08/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-12T09:00:00,12/08/2000,,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-13T09:00:00,13/08/2000,9.4,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-14T09:00:00,14/08/2000,0.2,Incomplete,Good,
http://environment.data.gov.uk/hydrology/id/measures/0cd6b88e-5414-44ed-8849-e06a31102e00-rainfall-t-86400-mm-qualified,2000-08-15T09:00:00,15/08/2000,1.8,Incomplete,Good,
