"measure","dateTime","date","value","completeness","quality","qcode"
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-01T09:00:00","2000-01-01","0.4","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-02T09:00:00","2000-01-02","19.6","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-03T09:00:00","2000-01-03","0.8","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-04T09:00:00","2000-01-04","11.0","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-05T09:00:00","2000-01-05","19.0","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-06T09:00:00","2000-01-06","6.2","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-07T09:00:00","2000-01-07","21.4","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-08T09:00:00","2000-01-08","1.4","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-09T09:00:00","2000-01-09","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-10T09:00:00","2000-01-10","14.6","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-11T09:00:00","2000-01-11","63.8","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-12T09:00:00","2000-01-12","12.2","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-13T09:00:00","2000-01-13","0.2","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-14T09:00:00","2000-01-14","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-15T09:00:00","2000-01-15","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/4cb01f29-742a-4b9f-918f-8c50310c1284_592860-rainfall-t-86400-mm-qualified","2000-01-16T09:00:00","2000-01-16","0.0","Incomplete","Estimated",""
