"measure","dateTime","date","value","completeness","quality","qcode"
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-01T09:00:00","2000-01-01","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-02T09:00:00","2000-01-02","9.6","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-03T09:00:00","2000-01-03","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-04T09:00:00","2000-01-04","7.0","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-05T09:00:00","2000-01-05","4.8","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-06T09:00:00","2000-01-06","3.4","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-07T09:00:00","2000-01-07","2.6","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-08T09:00:00","2000-01-08","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-09T09:00:00","2000-01-09","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-10T09:00:00","2000-01-10","1.4","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-11T09:00:00","2000-01-11","52.8","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-12T09:00:00","2000-01-12","6.2","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-13T09:00:00","2000-01-13","3.0","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-14T09:00:00","2000-01-14","0.4","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-15T09:00:00","2000-01-15","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-16T09:00:00","2000-01-16","0.2","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-17T09:00:00","2000-01-17","0.2","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-18T09:00:00","2000-01-18","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-19T09:00:00","2000-01-19","0.2","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-20T09:00:00","2000-01-20","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-21T09:00:00","2000-01-21","2.0","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-22T09:00:00","2000-01-22","0.2","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-23T09:00:00","2000-01-23","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-24T09:00:00","2000-01-24","0.0","Incomplete","Estimated",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-25T09:00:00","2000-01-25","0.2","Incomplete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/7a90bcbb-6b9e-44ad-8eac-86b1e8fc96c8-rainfall-t-86400-mm-qualified","2000-01-26T09:00:00","2000-01-26","0.2","Incomplete","Good",""
