Easting,Northing,Site_ID,Stdy_Start,Stdy_Fin,Site_selection,Stdy_Method,Erosion_Rate,Pathway,Reference,Link
497500,236500,1,1990,1994,1,Volumetric survey,0,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
525500,107500,2,1990,1994,1,Volumetric survey,10.3,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
297500,815500,3,1990,1991,1,Volumetric survey,8.5,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
610500,337500,4,1990,1994,1,Volumetric survey,0,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
539500,109500,5,1990,1994,1,Volumetric survey,3.4,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
376500,290500,6,1990,1994,1,Volumetric survey,0.72,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
363500,224500,7,1990,1994,1,Volumetric survey,0.8,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
347500,203500,8,1990,1994,1,Volumetric survey,3.9,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
352500,210500,9,1990,1994,1,Volumetric survey,11,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
307500,85500,10,1990,1994,1,Volumetric survey,2.2,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
291500,79500,11,1990,1994,1,Volumetric survey,1.5,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
295500,83500,12,1990,1994,1,Volumetric survey,0.88,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990–94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf
289500,100500,13,1987,1989,1,Caesium-137,1.9,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
340500,116500,14,1987,1989,1,Caesium-137,2.2,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
361500,82500,15,1987,1989,1,Caesium-137,3.1,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
344500,210500,16,1987,1989,1,Caesium-137,1.9,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
364500,248500,17,1987,1989,1,Caesium-137,2.8,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
461500,358500,18,1987,1989,1,Caesium-137,10.5,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
507500,263500,19,1987,1989,1,Caesium-137,1.2,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
506500,262500,20,1987,1989,1,Caesium-137,0.6,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x
