Easting,Northing,Site_ID,Stdy_Start,Stdy_Fin,Site_selection,Stdy_Method,Erosion_Rate,Pathway,Reference,Link,longitude,latitude
497500,236500,1,1990,1994,1,Volumetric survey,0.0,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-0.5805999669102447,52.01836645043812
525500,107500,2,1990,1994,1,Volumetric survey,10.3,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-0.21845149697129518,50.85340982789445
297500,815500,3,1990,1991,1,Volumetric survey,8.5,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-3.698963718285403,57.2187363678551
610500,337500,4,1990,1994,1,Volumetric survey,0.0,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,1.1278304158984516,52.893716295165184
539500,109500,5,1990,1994,1,Volumetric survey,3.4,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-0.01891918122912458,50.86817988534058
376500,290500,6,1990,1994,1,Volumetric survey,0.72,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-2.347696987752408,52.51187742252584
363500,224500,7,1990,1994,1,Volumetric survey,0.8,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-2.5321005533150363,51.91782116388878
347500,203500,8,1990,1994,1,Volumetric survey,3.9,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-2.761523190255665,51.72774573283558
352500,210500,9,1990,1994,1,Volumetric survey,11.0,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-2.690095589909203,51.79112555513764
307500,85500,10,1990,1994,1,Volumetric survey,2.2,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-3.310089897140898,50.661800802451324
291500,79500,11,1990,1994,1,Volumetric survey,1.5,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-3.534626243283079,50.60509892250887
295500,83500,12,1990,1994,1,Volumetric survey,0.88,Water,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 199094."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,-3.4792488966397004,50.641789102428326
289500,100500,13,1987,1989,1,Caesium-137,1.9,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,-3.569167386326618,50.79349934544334
340500,116500,14,1987,1989,1,Caesium-137,2.2,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,-2.8482957700310316,50.94485304690473
361500,82500,15,1987,1989,1,Caesium-137,3.1,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,-2.545826041093685,50.64090936252893
344500,210500,16,1987,1989,1,Caesium-137,1.9,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,-2.806074474274161,51.79038738946027
364500,248500,17,1987,1989,1,Caesium-137,2.8,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,-2.5200596385335796,52.13365285841188
461500,358500,18,1987,1989,1,Caesium-137,10.5,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,-1.082516194711782,53.12013799231905
507500,263500,19,1987,1989,1,Caesium-137,1.2,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,-0.4264036587070186,52.25917328552598
506500,262500,20,1987,1989,1,Caesium-137,0.6,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,-0.44136412891850446,52.25038060175427
611500,335500,21,1987,1989,1,Caesium-137,3.0,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,1.141373060634414,52.8753725941996
632500,154500,22,1987,1989,1,Caesium-137,4.3,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,1.3297000118807192,51.242267157872504
541500,110500,23,1987,1989,1,Caesium-137,1.4,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,0.009871067123704608,50.876681126793656
377500,294500,24,1987,1989,1,Caesium-137,6.5,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,-2.333234767503549,52.547878742770806
585500,336500,25,1987,1989,1,Caesium-137,2.4,All,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,0.7561132951372685,52.89393683193329
378500,295500,26,01/12/1985,01/01/1991,1,Runoff and sediment collection,11.3,Water,"Fullen, M. A. (1992). ""Erosion rates on bare loamy sand soils in east Shropshire, UK."" Soil Use and Management 8(4): 157-162.",http://dx.doi.org/10.1111/j.1475-2743.1992.tb00914.x,-2.3185533412529624,52.55690907199908
378500,295500,27,01/12/1986,01/12/1992,5,Runoff and sediment collection,0.008,Water,"Fullen, M. A. (1992). ""Erosion rates on bare loamy sand soils in east Shropshire, UK."" Soil Use and Management 8(4): 157-162.",http://dx.doi.org/10.1111/j.1475-2743.1992.tb00914.x,-2.3185533412529624,52.55690907199908
368500,792500,28,1984,1985,1,Volumetric survey,7.749,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,-2.5204669203849557,57.022536983642
361500,827500,29,1984,1985,1,Volumetric survey,1.968,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,-2.641180313058553,57.3363886521638
378500,782500,30,1984,1985,1,Volumetric survey,2.583,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,-2.3549048755093875,56.93328275697732
359500,799500,31,1984,1985,1,Volumetric survey,10.209,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,-2.6698276023820777,57.0847105816706
361500,827500,32,1984,1985,1,Volumetric survey,6.15,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,-2.641180313058553,57.3363886521638
372500,777500,33,1984,1985,1,Volumetric survey,1.968,Water,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,-2.4529471326825654,56.888048553275105
